name,id,artists
ZEZE (feat. Travis Scott & Offset),0FZ4Dmg8jJJAPJnvBIzD9z,"['46SHBwWsqBkxI7EeeBEQG7', '4DdkRBBYG6Yk9Ka8tdJ9BW', '0Y5tJX1MQlPlqiwlOH1tJY']"
Right Here,2Rmuzh89p29BeTIF63Opwo,"['1uNFoZAHBGtllmzznpCI3s', '3TVXtAsR1Inumwj472S9r4']"
Live Your Life,3jlbL2OTD5YmIunYzgQTAN,"['4OBJLual30L7gRl5UkeRcT', '5pKCCKE2ajJHZ9KAiaK11H']"
Silence,7vGuf3Y35N4wmASOKLUVVU,"['64KEffDW9EtZ1y2vBYgq8T', '6LuN9FCkKOj5PcnpouEgny']"
Wish (feat. Trippie Redd) - Trippie Mix,0c0YHn3DIQLl1opsQDd9kO,"['5fMUXHkw8R8eOP2RNVYEZX', '6Xgp2XMz1fhVYe7i6yNAax']"
Forever Ever (feat. Young Thug & Reese LAFLARE),4bnq2OQUwACkp2vCEbY52g,"['6Xgp2XMz1fhVYe7i6yNAax', '50co4Is1HCEo8bhOyUWKpn']"
Baby By Me,1x075F39Q0zOhjPzPKgG8E,"['3q7HBObVc0L8jNeTe5Gofh', '21E3waRsmPlU7jZsS13rcj']"
Hate Bein' Sober,2oHM9KAdFdFvDCaE4V6RST,"['15iVAtD3s3FsQR4w1v6M0P', '3q7HBObVc0L8jNeTe5Gofh', '137W8MRPWKqSmrBGDBFSop']"
I Wanna Love You,0CXVjQI9wsqaGeIARkkpYc,"['0z4gvV4rjIZ9wHck67ucSV', '7hJcb9fa4alzcOq3EaNPoG']"
Under Control - Radio Edit,4J7CKHCF3mdL4diUsmW8lq,"['7CajNmpbOovFoOoasH2HaY', '4AVFqumd2ogHFlRbKIjp1t']"
Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU,"['5CiGnKThu5ctn9pBxv7DGa', '26VFTg2z8YR0cCuwLzESi2', '6LuN9FCkKOj5PcnpouEgny']"
Baby Don't Hurt Me,3BKD1PwArikchz2Zrlp1qi,"['1Cs0zKBU1kc0i8ypK3B9ai', '6AMd49uBDJfhf30Ak2QR5s']"
Wants and Needs (feat. Lil Baby),65OVbaJR5O1RmwOQx0875b,"['3TVXtAsR1Inumwj472S9r4', '5f7VJjfbwm532GiveGC0ZK']"
Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI,"['3TVXtAsR1Inumwj472S9r4', '3hcs9uc56yIGFCSy9leWe7']"
Need It (feat. YoungBoy Never Broke Again),1cMMVJ4FDqhCci9efd1BU6,"['6oMuImdp5ZcFhWP0ESe6mG', '7wlFDEWiM5OoIAt8RSli8b']"
I Don't Care,6hvRoJ0BTZywxu8UCPBkzx,"['6eUKZXaKkcviH0Ku9w2n3V', '1uNFoZAHBGtllmzznpCI3s']"
Save My Love,5ObyGDxNWH0Uuuk3NvC5r8,"['23fqKkggKUBHNkbKtXEls4', '6LuN9FCkKOj5PcnpouEgny', '2ZRQcIgzPCVaT9XKhXZIzh']"
Bad Bad Bad (feat. Lil Baby),1GeNui6m825V8jP4uKiIaH,"['50co4Is1HCEo8bhOyUWKpn', '5f7VJjfbwm532GiveGC0ZK']"
EYES CLOSED (with ZAYN),4WFfPxJv1KRekG6mxn837K,"['6UZ0ba50XreR4TM8u322gs', '5ZsFI1h6hIdQRw2ti0hz81']"
As Long As You Love Me,0pwYLVXVknPSGUQb39cePC,"['1uNFoZAHBGtllmzznpCI3s', '0c173mlxpT3dSFRgMO8XPh']"
Eenie Meenie,4Yaw2PmyOETOnEM3TCf98I,"['1uNFoZAHBGtllmzznpCI3s', '6S0dmVVn4udvppDhZIWxCr']"
Dial Drunk (with Post Malone),22VHOlVYBqytsrAqV8yXBK,"['2RQXRUsr4IW1f3mKyKsy4B', '246dkjvS1zLTtiykXe5h60']"
